index,result_raw,result,apply_for_raw,apply_for,major,degree,gpa,TOEFL,GRE,from_raw,from
1820625,AD无奖,Offer,University of Delaware,else,Statistics,MS,84,100,321,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,985
1820625,被拒,Rejected,Johns Hopkins University,top5,Statistics,MS,84,100,321,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,985
1820625,被拒,Rejected,University of California - Los Angeles,top30,Statistics,MS,84,100,321,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,985
1820625,被拒,Rejected,The Pennsylvania State University,top20,Statistics,MS,84,100,321,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,985
1819492,被拒,Rejected,University of California - Los Angeles,top30,Statistics,MS,86.42,82,313,211,211
1819492,被拒,Rejected,University of Connecticut,top50,Statistics,MS,86.42,82,313,211,211
1819492,被拒,Rejected,University of Florida,top30,Statistics,MS,86.42,82,313,211,211
1818338,AD无奖,Offer,Columbia University,top20,Statistics,MA,90,97,322,双非,双非
1818338,被拒,Rejected,University of Chicago,top5,Statistics,MA,90,97,322,双非,双非
1818338,被拒,Rejected,University of Michigan - Ann Arbor,top20,Statistics,MA,90,97,322,双非,双非
1818338,被拒,Rejected,University of California - Los Angeles,top30,Statistics,MA,90,97,322,双非,双非
1818338,被拒,Rejected,University of California - Davis,top30,Statistics,MA,90,97,322,双非,双非
1818338,被拒,Rejected,University of California - Santa Barbara,else,Statistics,MA,90,97,322,双非,双非
1818338,AD无奖,Offer,George Washington University,top50,Statistics,MA,90,97,322,双非,双非
1818338,被拒,Rejected,University of Illinois at Urbana-Champai,top40,Statistics,MA,90,97,322,双非,双非
1818338,AD无奖,Offer,Rutgers University,top40,Statistics,MA,90,97,322,双非,双非
1817163,被拒,Rejected,University of Minnesota - Twin Cities,top20,Statistics,MS,85,99,316,211 & 985,211 & 985
1817163,被拒,Rejected,George Washington University,top50,Statistics,MS,85,99,316,211 & 985,211 & 985
1817163,被拒,Rejected,University of California - Davis,top30,Statistics,MS,85,99,316,211 & 985,211 & 985
1817163,被拒,Rejected,University of Florida,top30,Statistics,MS,85,99,316,211 & 985,211 & 985
1817163,被拒,Rejected,Michigan State University,top50,Statistics,MS,85,99,316,211 & 985,211 & 985
1816922,AD无奖,Offer,University of California - Irvine,else,Statistics,MS,87.6,106,322,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,985
1816629,AD无奖,Offer,University of Michigan - Ann Arbor,top20,Statistics,MA,88.6,111,327.5,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,985
1816517,AD无奖,Offer,Columbia University,top20,Statistics,MA,88.9,100,320,211,211
1815901,AD无奖,Offer,Rutgers University,top40,Statistics,MS,87.6,106,322,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,985
1814306,被拒,Rejected,University of Chicago,top5,Statistics,MS,89,94,314,211,211
1814306,被拒,Rejected,University of Michigan - Ann Arbor,top20,Statistics,MA,89,94,314,211,211
1814210,AD无奖,Offer,Washington University in St Louis,else,Statistics,MS,84,98,319,211,211
1813038,AD无奖,Offer,George Washington University,top50,Statistics,MS,71.25,93,319,211 & 985,211 & 985
1813038,AD无奖,Offer,University of Vermont,else,Statistics,MS,71.25,93,319,211 & 985,211 & 985
1812755,AD无奖,Offer,Johns Hopkins University,top5,Statistics,MS,93.575,106,329,浙江大学,985
1812755,AD无奖,Offer,University of California - Davis,top30,Statistics,MS,93.575,106,329,浙江大学,985
1812755,AD无奖,Offer,University of Wisconsin,else,Statistics,MS,93.575,106,329,浙江大学,985
1812755,AD无奖,Offer,University of Michigan - Ann Arbor,top20,Statistics,MS,93.575,106,329,浙江大学,985
1811575,被拒,Rejected,The Pennsylvania State University,top20,Statistics,MS,87,99,322,211 & 985,211 & 985
1811575,被拒,Rejected,University of California - Los Angeles,top30,Statistics,MS,87,99,322,211 & 985,211 & 985
1811134,AD无奖,Offer,University of California - Davis,top30,Statistics,MS,89,100,326,211 & 985,211 & 985
1810260,被拒,Rejected,Johns Hopkins University,top5,Statistics,MS,90.25,110,327,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,985
1810257,AD无奖,Offer,University of Michigan - Ann Arbor,top20,Statistics,MS,93.575,106,329,浙江大学,985
1810257,AD无奖,Offer,University of Wisconsin,else,Statistics,MS,93.575,106,329,浙江大学,985
